1,1199481086648889884278784
2,595018176841575296925696
3,897249631745232590602240
4,1048365359197061237440512
5,1123923222922975560859648
6,1161702154785932722569216
7,1180591620717411303424000
8,1190036353683150593851392
9,1199481086648889884278784
10,2342736497361113055232
11,1162144876643701751808
12,1752440687002407403520
13,2047588592181760229376
14,2195162544771436642304
15,2268949521066274848768
16,2305843009213693952000
17,2324289753287403503616
18,2342736497361113055232
19,4575657221408423936
20,2269814212194729984
21,3422735716801576960
22,3999196469105000448
23,4287426845256712192
24,4431542033332568064
25,4503599627370496000
26,4539628424389459968
27,4575657221408423936
28,8936830510563328
29,4433230883192832
30,6685030696878080
31,7810930603720704
32,8373880557142016
33,8655355533852672
34,8796093022208000
35,8866461766385664
36,8936830510563328
37,17454747090944
38,8658654068736
39,13056700579840
40,15255723835392
41,16355235463168
42,16904991277056
43,17179869184000
44,17317308137472
45,17454747090944
46,34091302912
47,16911433728
48,25501368320
49,29796335616
50,31943819264
51,33017561088
52,33554432000
53,33822867456
54,34091302912
55,66584576
56,33030144
57,49807360
58,58195968
59,62390272
60,64487424
61,65536000
62,66060288
63,66584576
64,130048
65,64512
66,97280
67,113664
68,121856
69,125952
70,128000
71,129024
72,130048
73,254
74,126
75,190
76,222
77,238
78,246
79,250
80,252
81,254
