1,2365803952279117758464
2,1182901976139558879232
3,591450988069779439616
4,295725494034889719808
5,147862747017444859904
6,73931373508722429952
7,36965686754361214976
8,18482843377180607488
9,9241421688590303744
10,4620710844295151616
11,2310355422147575808
12,1155177711073787904
13,577588855536893952
14,288794427768446976
15,144397213884223488
16,72198606942111744
17,36099303471055872
18,18049651735527936
19,2361192266260690370560
20,1180596133130345185280
21,590298066565172592640
22,295149033282586296320
23,147574516641293148160
24,73787258320646574080
25,36893629160323287040
26,18446814580161643520
27,9223407290080821760
28,2365794945079863017472
29,1182897472539931508736
30,591448736269965754368
31,295724368134982877184
32,147862184067491438592
33,73931092033745719296
34,36965546016872859648
35,18482773008436429824
36,9241386504218214912
37,2365803934686931714048
38,1182901967343465857024
39,591450983671732928512
40,295725491835866464256
41,147862745917933232128
42,73931372958966616064
43,36965686479483308032
44,18482843239741654016
45,9241421619870827008
46,2365803952244758020096
47,1182901976122379010048
48,591450988061189505024
49,295725494030594752512
50,147862747015297376256
51,73931373507648688128
52,36965686753824344064
53,18482843376912172032
54,9241421688456086016
55,2365803952279050649600
56,1182901976139525324800
57,591450988069762662400
58,295725494034881331200
59,147862747017440665600
60,73931373508720332800
61,36965686754360166400
62,18482843377180083200
63,9241421688590041600
64,2365803952279117627392
65,1182901976139558813696
66,591450988069779406848
67,295725494034889703424
68,147862747017444851712
69,73931373508722425856
70,36965686754361212928
71,18482843377180606464
72,9241421688590303232
73,2365803952279117758464
74,1182901976139558879232
75,591450988069779439616
76,295725494034889719808
77,147862747017444859904
78,73931373508722429952
79,36965686754361214976
80,18482843377180607488
81,9241421688590303744
